x_cm,phi_g1,phi_g2,phi_g3,phi_g4
5.000000000000000000e+01,2.039231280935163125e+14,8.764131933856589062e+13,5.507456516376742188e+13,6.337297555108796875e+13
5.050000000000000000e+01,2.045114718220520312e+14,8.789417730631895312e+13,5.523347598891507031e+13,6.355585088847096094e+13
5.100000000000000000e+01,2.050456400351625000e+14,8.812375125142373438e+13,5.537775328783234375e+13,6.372188557953720312e+13
5.150000000000000000e+01,2.055254907011860000e+14,8.832998038467487500e+13,5.550735932613801562e+13,6.387103676072419531e+13
5.200000000000000000e+01,2.059508962329310312e+14,8.851281008959162500e+13,5.562226020390771875e+13,6.400326594037521094e+13
5.250000000000000000e+01,2.063217435017517812e+14,8.867219194296642188e+13,5.572242588354960156e+13,6.411853904103450000e+13
5.300000000000000000e+01,2.066379338491502812e+14,8.880808373318951562e+13,5.580783021532737500e+13,6.421682643869934375e+13
5.350000000000000000e+01,2.068993830952837188e+14,8.892044947672412500e+13,5.587845096115640625e+13,6.429810299963583594e+13
5.400000000000000000e+01,2.071060215437777188e+14,8.900925943309165625e+13,5.593426981727300781e+13,6.436234811533799219e+13
5.450000000000000000e+01,2.072577939822576250e+14,8.907449011872951562e+13,5.597527243637020312e+13,6.440954573617592188e+13
5.500000000000000000e+01,2.073546596780140000e+14,8.911612432010618750e+13,5.600144844980036719e+13,6.443968440423550781e+13
5.550000000000000000e+01,2.073965923681980312e+14,8.913415110651564062e+13,5.601279149047118750e+13,6.445275728579903125e+13
5.600000000000000000e+01,2.073835802439247500e+14,8.912856584303220312e+13,5.600929921710194531e+13,6.444876220384322656e+13
5.650000000000000000e+01,2.073156259276164688e+14,8.909937020418790625e+13,5.599097334056546094e+13,6.442770167083864062e+13
5.700000000000000000e+01,2.071927464428803125e+14,8.904657218903582812e+13,5.595781965311589844e+13,6.438958292200329688e+13
5.750000000000000000e+01,2.070149731761523750e+14,8.897018613839739062e+13,5.590984806139590625e+13,6.433441794898860938e+13
5.800000000000000000e+01,2.067823518292819375e+14,8.887023275525323438e+13,5.584707262422680469e+13,6.426222353373404688e+13
5.850000000000000000e+01,2.064949423621660938e+14,8.874673912944018750e+13,5.576951159631650781e+13,6.417302128189909375e+13
5.900000000000000000e+01,2.061528189244770625e+14,8.859973876806278125e+13,5.567718747916799219e+13,6.406683765483567969e+13
5.950000000000000000e+01,2.057560697754748125e+14,8.842927163332453125e+13,5.557012708064052344e+13,6.394370399846472656e+13
6.000000000000000000e+01,2.053047971908535000e+14,8.823538418984578125e+13,5.544836158480260156e+13,6.380365656661675000e+13
6.050000000000000000e+01,2.047991173555618438e+14,8.801812946396428125e+13,5.531192663392096094e+13,6.364673653532628125e+13
6.100000000000000000e+01,2.042391602415692500e+14,8.777756711803464062e+13,5.516086242465068750e+13,6.347299000315324219e+13
6.150000000000000000e+01,2.036250694696502500e+14,8.751376354335607812e+13,5.499521382072281250e+13,6.328246797073774219e+13
6.200000000000000000e+01,2.029570021544541250e+14,8.722679197609365625e+13,5.481503048466471094e+13,6.307522629034633594e+13
6.250000000000000000e+01,2.022351287324575938e+14,8.691673264142339062e+13,5.462036703132219531e+13,6.285132557297264062e+13
6.300000000000000000e+01,2.014596327729124062e+14,8.658367293215860938e+13,5.441128320617302344e+13,6.261083103639462500e+13
6.350000000000000000e+01,2.006307107726709062e+14,8.622770762931782812e+13,5.418784409160867188e+13,6.235381227219930469e+13
6.400000000000000000e+01,1.997485719368855938e+14,8.584893917350459375e+13,5.395012034449509375e+13,6.208034290281396875e+13
6.450000000000000000e+01,1.988134379491446250e+14,8.544747799761435938e+13,5.369818846837127344e+13,6.179050009059176562e+13
6.500000000000000000e+01,1.978255427367901875e+14,8.502344293328953125e+13,5.343213112356882812e+13,6.148436384943641406e+13
6.550000000000000000e+01,1.967851322401412188e+14,8.457696170573998438e+13,5.315203747828446094e+13,6.116201609460372656e+13
6.600000000000000000e+01,1.956924641983797500e+14,8.410817153406832812e+13,5.285800360314346875e+13,6.082353934729331250e+13
6.650000000000000000e+01,1.945478079702724375e+14,8.361721985709892188e+13,5.255013291097458594e+13,6.046901498630782031e+13
6.700000000000000000e+01,1.933514444151007188e+14,8.310426520794198438e+13,5.222853664226629688e+13,6.009852090796362500e+13
6.750000000000000000e+01,1.921036658687043125e+14,8.256947826412104688e+13,5.189333439496289844e+13,5.971212841576646875e+13
6.800000000000000000e+01,1.908047762620845625e+14,8.201304310406085938e+13,5.154465469471854688e+13,5.930989811080270312e+13
6.850000000000000000e+01,1.894550914464325312e+14,8.143515870502565625e+13,5.118263559826112500e+13,5.889187448940640625e+13
6.900000000000000000e+01,1.880549398098712500e+14,8.083604072215731250e+13,5.080742531787669531e+13,5.845807887273214062e+13
6.950000000000000000e+01,1.866046632990437188e+14,8.021592359295771875e+13,5.041918284891394531e+13,5.800850018867663281e+13
7.000000000000000000e+01,1.851046189947575000e+14,7.957506301620512500e+13,5.001807857426986719e+13,5.754308299416808594e+13
7.050000000000000000e+01,1.835551814375285000e+14,7.891373885859182812e+13,4.960429480962955469e+13,5.706171195760093750e+13
7.100000000000000000e+01,1.819567459589819062e+14,7.823225854590114062e+13,4.917802624030032812e+13,5.656419180749434375e+13
7.150000000000000000e+01,1.803097333524239375e+14,7.753096099768879688e+13,4.873948018422450781e+13,5.605022148207041406e+13
7.200000000000000000e+01,1.786145963152378750e+14,7.681022116435798438e+13,4.828887659552559375e+13,5.551936086983326562e+13
7.250000000000000000e+01,1.768718282231483125e+14,7.607045522203470312e+13,4.782644769800014844e+13,5.497098809360792969e+13
7.300000000000000000e+01,1.750819749595025312e+14,7.531212647216350000e+13,4.735243710751453906e+13,5.440424473472030469e+13
7.350000000000000000e+01,1.732456507313480312e+14,7.453575197708345312e+13,4.686709826545447656e+13,5.381796568802175781e+13
7.400000000000000000e+01,1.713635590706101250e+14,7.374190993709868750e+13,4.637069196135692188e+13,5.321058944146647656e+13
7.450000000000000000e+01,1.694365205589172812e+14,7.293124777484217188e+13,4.586348267084132031e+13,5.258004343387307031e+13
7.500000000000000000e+01,1.674655092486282812e+14,7.210449083389100000e+13,4.534573337433203125e+13,5.192359769489767188e+13
7.550000000000000000e+01,1.654517003058826562e+14,7.126245151381628125e+13,4.481769845252664844e+13,5.123767812724465625e+13
7.600000000000000000e+01,1.633965321064959062e+14,7.040603854417373438e+13,4.427961417636866406e+13,5.051762844424339844e+13
7.650000000000000000e+01,1.613017869134915312e+14,6.953626593361558594e+13,4.373168622355697656e+13,4.975740678732402344e+13
7.700000000000000000e+01,1.591696954085846562e+14,6.865426090195375000e+13,4.317407356283809375e+13,4.894919923988760156e+13
7.750000000000000000e+01,1.570030718058644375e+14,6.776126979258789062e+13,4.260686795594125781e+13,4.808292759883204688e+13
7.800000000000000000e+01,1.548054881295658125e+14,6.685866054414628906e+13,4.203006824238705469e+13,4.714562257044103906e+13
