x_cm,phi_g1,phi_g2,phi_g3,phi_g4
2.450000000000000000e+01,2.360014139180254688e+13,1.004067110550244336e+13,6.336425854977008789e+12,8.039862253497000977e+12
2.500000000000000000e+01,2.428132338831080859e+13,1.035761599147848047e+13,6.530444365555578125e+12,8.102045901263014648e+12
2.550000000000000000e+01,2.495503728876223438e+13,1.066955806727983008e+13,6.723378857072138672e+12,8.198395214504159180e+12
2.600000000000000000e+01,2.562297751059642969e+13,1.097707961033864453e+13,6.915110122405023438e+12,8.321120386658097656e+12
2.650000000000000000e+01,2.628641334430513281e+13,1.128070387104986328e+13,7.105575068641403320e+12,8.464140377108629883e+12
2.700000000000000000e+01,2.694628758772632422e+13,1.158089527456137695e+13,7.294752302840758789e+12,8.622713140090124023e+12
2.750000000000000000e+01,2.760329311769824609e+13,1.187806176999943555e+13,7.482650560930770508e+12,8.793145293703572266e+12
2.800000000000000000e+01,2.825793222482730469e+13,1.217255849272258398e+13,7.669299543715311523e+12,8.972564186005480469e+12
2.850000000000000000e+01,2.891056249504375391e+13,1.246469214613406641e+13,7.854742762229045898e+12,9.158738983038087891e+12
2.900000000000000000e+01,2.956143220328916016e+13,1.275472568885333008e+13,8.039032039040625977e+12,9.349940277092707031e+12
2.950000000000000000e+01,3.021070754206545312e+13,1.304288304544856445e+13,8.222223357913523438e+12,9.544829966003720703e+12
3.000000000000000000e+01,3.085849350299748828e+13,1.332935365584452148e+13,8.404373798554445312e+12,9.742374921143123047e+12
3.050000000000000000e+01,3.150484983344369922e+13,1.361429674867691992e+13,8.585539334301620117e+12,9.941779348551626953e+12
3.100000000000000000e+01,3.214980317931086719e+13,1.389784527395461328e+13,8.765773307644117188e+12,1.014243183668200977e+13
3.150000000000000000e+01,3.279335628134309375e+13,1.418010946551859375e+13,8.945125431084181641e+12,1.034386393990382422e+13
3.200000000000000000e+01,3.343549490092351562e+13,1.446118002784008984e+13,9.123641189076082031e+12,1.054571781954715820e+13
3.250000000000000000e+01,3.407619300157884375e+13,1.474113095762456445e+13,9.301361540831894531e+12,1.074772099322261523e+13
3.300000000000000000e+01,3.471541659504430469e+13,1.502002202071072070e+13,9.478322844032128906e+12,1.094966665928001172e+13
3.350000000000000000e+01,3.535312656896001562e+13,1.529790091054520703e+13,9.654556936328806641e+12,1.115139839072405273e+13
3.400000000000000000e+01,3.598928074154357812e+13,1.557480511732475391e+13,9.830091325405812500e+12,1.135279825064297070e+13
3.450000000000000000e+01,3.662383533260239062e+13,1.585076353765356055e+13,1.000494944967898438e+13,1.155377758409981055e+13
3.500000000000000000e+01,3.725674599662072656e+13,1.612579785394876367e+13,1.017915098086151172e+13,1.175426990116672461e+13
3.550000000000000000e+01,3.788796852970905469e+13,1.639992371133617188e+13,1.035271214693623438e+13,1.195422539153081250e+13
3.600000000000000000e+01,3.851745933583926562e+13,1.667315171777004102e+13,1.052564605987366211e+13,1.215360671008497656e+13
3.650000000000000000e+01,3.914517571735782031e+13,1.694548829083826953e+13,1.069796303698106445e+13,1.235238575081906641e+13
3.700000000000000000e+01,3.977107603897409375e+13,1.721693637235252148e+13,1.086967090829367188e+13,1.255054118761654688e+13
3.750000000000000000e+01,4.039511980224309375e+13,1.748749602949031641e+13,1.104077530511835352e+13,1.274805660876325586e+13
3.800000000000000000e+01,4.101726765820422656e+13,1.775716495902906250e+13,1.121127992687771484e+13,1.294491910986091406e+13
3.850000000000000000e+01,4.163748137867089844e+13,1.802593890913680859e+13,1.138118678491233398e+13,1.314111823959807422e+13
3.900000000000000000e+01,4.225572380120246875e+13,1.829381203128576953e+13,1.155049642299479492e+13,1.333664521618833203e+13
3.950000000000000000e+01,4.287195875864183594e+13,1.856077717314141016e+13,1.171920811508071094e+13,1.353149235060104883e+13
4.000000000000000000e+01,4.348615100097447656e+13,1.882682612175274219e+13,1.188732004134450781e+13,1.372565262705498242e+13
4.050000000000000000e+01,4.409826611491786719e+13,1.909194980502037500e+13,1.205482944387974805e+13,1.391911940246783984e+13
4.100000000000000000e+01,4.470827044490603125e+13,1.935613845823633203e+13,1.222173276363378516e+13,1.411188619532002148e+13
4.150000000000000000e+01,4.531613101784930469e+13,1.961938176146131250e+13,1.238802576023067773e+13,1.430394654122675586e+13
4.200000000000000000e+01,4.592181547311323438e+13,1.988166895261467188e+13,1.255370361634533008e+13,1.449529389783331641e+13
4.250000000000000000e+01,4.652529199848989062e+13,2.014298892038691016e+13,1.271876102824763867e+13,1.468592158577978125e+13
4.300000000000000000e+01,4.712652927246217969e+13,2.040333028042829688e+13,1.288319228405560938e+13,1.487582275568360156e+13
4.350000000000000000e+01,4.772549641273844531e+13,2.066268143770773828e+13,1.304699133113488672e+13,1.506499037356093750e+13
4.400000000000000000e+01,4.832216293082007812e+13,2.092103063746102344e+13,1.321015183396777148e+13,1.525341721901291992e+13
4.450000000000000000e+01,4.891649869223174219e+13,2.117836600674471094e+13,1.337266722369565820e+13,1.544109589196423242e+13
4.500000000000000000e+01,4.950847388196757031e+13,2.143467558827278906e+13,1.353453074041994922e+13,1.562801882485828125e+13
4.550000000000000000e+01,5.009805897467313281e+13,2.168994736792705859e+13,1.369573546923081055e+13,1.581417829806240625e+13
4.600000000000000000e+01,5.068522470907559375e+13,2.194416929709304297e+13,1.385627437082418359e+13,1.599956645687902344e+13
4.650000000000000000e+01,5.126994206618914062e+13,2.219732931077232031e+13,1.401614030746564258e+13,1.618417532904052148e+13
4.700000000000000000e+01,5.185218225084728125e+13,2.244941534225495703e+13,1.417532606496610938e+13,1.636799684192587500e+13
4.750000000000000000e+01,5.243191667614645312e+13,2.270041533499662891e+13,1.433382437125009375e+13,1.655102283900199023e+13
4.800000000000000000e+01,5.300911695042181250e+13,2.295031725222893750e+13,1.449162791202034375e+13,1.673324509518656836e+13
4.850000000000000000e+01,5.358375486641382812e+13,2.319910908473605078e+13,1.464872934395533789e+13,1.691465533096891406e+13
4.900000000000000000e+01,5.415580239232064062e+13,2.344677885715121094e+13,1.480512130581529297e+13,1.709524522522303711e+13
4.950000000000000000e+01,5.472523166446686719e+13,2.369331463306140234e+13,1.496079642777969727e+13,1.727500642671539062e+13
5.000000000000000000e+01,5.529201498135268750e+13,2.393870451915495312e+13,1.511574733929283008e+13,1.745393056435425977e+13
5.050000000000000000e+01,5.585612479887661719e+13,2.418293666860197656e+13,1.526996667565306250e+13,1.763200925625620312e+13
5.100000000000000000e+01,5.641753372655338281e+13,2.442599928382223438e+13,1.542344708354701172e+13,1.780923411772105469e+13
5.150000000000000000e+01,5.697621452457235156e+13,2.466788061876453125e+13,1.557618122569886914e+13,1.798559676821442578e+13
5.200000000000000000e+01,5.753214010156425781e+13,2.490856898079830078e+13,1.572816178477941602e+13,1.816108883745842188e+13
5.250000000000000000e+01,5.808528351296216406e+13,2.514805273229787500e+13,1.587938146669660938e+13,1.833570197072858984e+13
5.300000000000000000e+01,5.863561795986051562e+13,2.538632029198403906e+13,1.602983300337060547e+13,1.850942783345021094e+13
5.350000000000000000e+01,5.918311678828966406e+13,2.562336013607473438e+13,1.617950915507974414e+13,1.868225811518031641e+13
5.400000000000000000e+01,5.972775348883621094e+13,2.585916079928602734e+13,1.632840271244979297e+13,1.885418453305440234e+13
5.450000000000000000e+01,6.026950169655067188e+13,2.609371087571605078e+13,1.647650649814759766e+13,1.902519883476916406e+13
5.500000000000000000e+01,6.080833519109225781e+13,2.632699901963783984e+13,1.662381336832956055e+13,1.919529280116481250e+13
5.550000000000000000e+01,6.134422789707006250e+13,2.655901394622175391e+13,1.677031621388759570e+13,1.936445824846342969e+13
5.600000000000000000e+01,6.187715388454439062e+13,2.678974443220317969e+13,1.691600796152758594e+13,1.953268703021276172e+13
5.650000000000000000e+01,6.240708736966073438e+13,2.701917931650841406e+13,1.706088157470993164e+13,1.969997103897871484e+13
5.700000000000000000e+01,6.293400271539026562e+13,2.724730750084836719e+13,1.720493005447621680e+13,1.986630220782412500e+13
5.750000000000000000e+01,6.345787443235793750e+13,2.747411795028775000e+13,1.734814644018233398e+13,2.003167251160617969e+13
5.800000000000000000e+01,6.397867717974056250e+13,2.769959969379548828e+13,1.749052381015463086e+13,2.019607396812032422e+13
5.850000000000000000e+01,6.449638576622128906e+13,2.792374182478102734e+13,1.763205528228281250e+13,2.035949863911462109e+13
5.900000000000000000e+01,6.501097515098850000e+13,2.814653350161960547e+13,1.777273401456081641e+13,2.052193863119485156e+13
5.950000000000000000e+01,6.552242044476974219e+13,2.836796394816934375e+13,1.791255320558517969e+13,2.068338609663778125e+13
6.000000000000000000e+01,6.603069691089338281e+13,2.858802245428182812e+13,1.805150609501822266e+13,2.084383323412718750e+13
6.050000000000000000e+01,6.653577996637013281e+13,2.880669837630759375e+13,1.818958596402254297e+13,2.100327228942504688e+13
6.100000000000000000e+01,6.703764518299053125e+13,2.902398113759773828e+13,1.832678613567174609e+13,2.116169555598853125e+13
6.150000000000000000e+01,6.753626828843316406e+13,2.923986022900180469e+13,1.846309997534172266e+13,2.131909537554135156e+13
6.200000000000000000e+01,6.803162516738014062e+13,2.945432520936308984e+13,1.859852089108567578e+13,2.147546413860704688e+13
6.250000000000000000e+01,6.852369186263735156e+13,2.966736570601109766e+13,1.873304233399587891e+13,2.163079428501016016e+13
6.300000000000000000e+01,6.901244457625606250e+13,2.987897141525158594e+13,1.886665779855415625e+13,2.178507830435073047e+13
6.350000000000000000e+01,6.949785967065539062e+13,3.008913210285430078e+13,1.899936082297307422e+13,2.193830873645611719e+13
6.400000000000000000e+01,6.997991366974250000e+13,3.029783760453829688e+13,1.913114498952927734e+13,2.209047817181391797e+13
6.450000000000000000e+01,7.045858326003039062e+13,3.050507782645488672e+13,1.926200392488990234e+13,2.224157925198878516e+13
6.500000000000000000e+01,7.093384529175145312e+13,3.071084274566807812e+13,1.939193130043341797e+13,2.239160467002566797e+13
6.550000000000000000e+01,7.140567677996651562e+13,3.091512241063261328e+13,1.952092083256531641e+13,2.254054717084145703e+13
6.600000000000000000e+01,7.187405490566803125e+13,3.111790694166925000e+13,1.964896628302930859e+13,2.268839955160671484e+13
6.650000000000000000e+01,7.233895701687756250e+13,3.131918653143736719e+13,1.977606145921467578e+13,2.283515466211885938e+13
6.700000000000000000e+01,7.280036062973640625e+13,3.151895144540485156e+13,1.990220021445994531e+13,2.298080540516782031e+13
6.750000000000000000e+01,7.325824342958931250e+13,3.171719202231490234e+13,2.002737644835324609e+13,2.312534473689525391e+13
6.800000000000000000e+01,7.371258327206126562e+13,3.191389867464996875e+13,2.015158410702966406e+13,2.326876566714783203e+13
6.850000000000000000e+01,7.416335818412620312e+13,3.210906188909257031e+13,2.027481718346566797e+13,2.341106125982546484e+13
6.900000000000000000e+01,7.461054636516848438e+13,3.230267222698288672e+13,2.039706971777078906e+13,2.355222463322477344e+13
6.950000000000000000e+01,7.505412618803612500e+13,3.249472032477321484e+13,2.051833579747664844e+13,2.369224896037819531e+13
7.000000000000000000e+01,7.549407620008604688e+13,3.268519689447891797e+13,2.063860955782339453e+13,2.383112746938914062e+13
7.050000000000000000e+01,7.593037512422129688e+13,3.287409272412623828e+13,2.075788518204373438e+13,2.396885344376346875e+13
7.100000000000000000e+01,7.636300185991968750e+13,3.306139867819645312e+13,2.087615690164432422e+13,2.410542022273732422e+13
7.150000000000000000e+01,7.679193548425398438e+13,3.324710569806669141e+13,2.099341899668487109e+13,2.424082120160159375e+13
7.200000000000000000e+01,7.721715525290409375e+13,3.343120480244705078e+13,2.110966579605473828e+13,2.437504983202326953e+13
7.250000000000000000e+01,7.763864060116009375e+13,3.361368708781427344e+13,2.122489167774712109e+13,2.450809962236348047e+13
7.300000000000000000e+01,7.805637114491678125e+13,3.379454372884164453e+13,2.133909106913093750e+13,2.463996413799251562e+13
7.350000000000000000e+01,7.847032668165971875e+13,3.397376597882530859e+13,2.145225844722012500e+13,2.477063700160184375e+13
7.400000000000000000e+01,7.888048719144237500e+13,3.415134517010686719e+13,2.156438833894065234e+13,2.490011189351314062e+13
7.450000000000000000e+01,7.928683283785450000e+13,3.432727271449222656e+13,2.167547532139518359e+13,2.502838255198440234e+13
7.500000000000000000e+01,7.968934396898129688e+13,3.450154010366648828e+13,2.178551402212507812e+13,2.515544277351304688e+13
7.550000000000000000e+01,8.008800111835429688e+13,3.467413890960531641e+13,2.189449911937021094e+13,2.528128641313625000e+13
7.600000000000000000e+01,8.048278500589257812e+13,3.484506078498236719e+13,2.200242534232619922e+13,2.540590738472818750e+13
7.650000000000000000e+01,8.087367653883571875e+13,3.501429746357265625e+13,2.210928747139921484e+13,2.552929966129457031e+13
7.700000000000000000e+01,8.126065681266671875e+13,3.518184076065234766e+13,2.221508033845835156e+13,2.565145727526416406e+13
7.750000000000000000e+01,8.164370711202673438e+13,3.534768257339439844e+13,2.231979882708544922e+13,2.577237431877742969e+13
7.800000000000000000e+01,8.202280891162018750e+13,3.551181488126023438e+13,2.242343787282253125e+13,2.589204494397230859e+13
7.850000000000000000e+01,8.239794387711067188e+13,3.567422974638782812e+13,2.252599246341658594e+13,2.601046336326694141e+13
7.900000000000000000e+01,8.276909386600787500e+13,3.583491931397534375e+13,2.262745763906202344e+13,2.612762384963969531e+13
7.950000000000000000e+01,8.313624092854467188e+13,3.599387581266087500e+13,2.272782849264041016e+13,2.624352073690601953e+13
8.000000000000000000e+01,8.349936730854578125e+13,3.615109155489851562e+13,2.282710016995775391e+13,2.635814841999250781e+13
8.050000000000000000e+01,8.385845544428615625e+13,3.630655893732987500e+13,2.292526786997930078e+13,2.647150135520798438e+13
8.100000000000000000e+01,8.421348796934043750e+13,3.646027044115186719e+13,2.302232684506162109e+13,2.658357406051150781e+13
8.150000000000000000e+01,8.456444771342285938e+13,3.661221863248030469e+13,2.311827240118223047e+13,2.669436111577754688e+13
8.200000000000000000e+01,8.491131770321787500e+13,3.676239616270947656e+13,2.321309989816656641e+13,2.680385716305804297e+13
8.250000000000000000e+01,8.525408116320075000e+13,3.691079576886731250e+13,2.330680474991235547e+13,2.691205690684161328e+13
8.300000000000000000e+01,8.559272151644893750e+13,3.705741027396692188e+13,2.339938242461146875e+13,2.701895511430947656e+13
8.350000000000000000e+01,8.592722238544401562e+13,3.720223258735340625e+13,2.349082844496900391e+13,2.712454661558867578e+13
8.400000000000000000e+01,8.625756759286348438e+13,3.734525570504700000e+13,2.358113838841983984e+13,2.722882630400197266e+13
8.450000000000000000e+01,8.658374116236346875e+13,3.748647271008160938e+13,2.367030788734251172e+13,2.733178913631487500e+13
8.500000000000000000e+01,8.690572731935093750e+13,3.762587677283949219e+13,2.375833262927040625e+13,2.743343013297952734e+13
8.550000000000000000e+01,8.722351049174709375e+13,3.776346115138141406e+13,2.384520835710035938e+13,2.753374437837542969e+13
8.600000000000000000e+01,8.753707531074004688e+13,3.789921919177275781e+13,2.393093086929850000e+13,2.763272702104733984e+13
8.650000000000000000e+01,8.784640661152853125e+13,3.803314432840538281e+13,2.401549602010347656e+13,2.773037327393972266e+13
8.700000000000000000e+01,8.815148943405496875e+13,3.816523008431505469e+13,2.409889971972689844e+13,2.782667841462832422e+13
