x_cm,phi_g1,phi_g2,phi_g3,phi_g4
2.150000000000000000e+01,7.357909628262678125e+13,3.016654064165037891e+13,1.930508910732514844e+13,3.428191966850575000e+13
2.200000000000000000e+01,7.648861732442807812e+13,3.144581518087283984e+13,1.996433634302273828e+13,3.238080145328782422e+13
2.250000000000000000e+01,7.920776973867770312e+13,3.267388365038558203e+13,2.062213463227548438e+13,3.105242944502185547e+13
2.300000000000000000e+01,8.177143628723342188e+13,3.385248967588795703e+13,2.127431039025932422e+13,3.016827483629875000e+13
2.350000000000000000e+01,8.420624213854107812e+13,3.498380861263219141e+13,2.191759607396105469e+13,2.962754621195131250e+13
2.400000000000000000e+01,8.653239683387951562e+13,3.607019788193757031e+13,2.254947442133589844e+13,2.935121955227114453e+13
2.450000000000000000e+01,8.876513439723589062e+13,3.711402807796162500e+13,2.316803981328112500e+13,2.927735419566442188e+13
2.500000000000000000e+01,9.091583839500107812e+13,3.811757301983246094e+13,2.377187781582870312e+13,2.935741646988395703e+13
2.550000000000000000e+01,9.299292006761982812e+13,3.908294233085705469e+13,2.435996255404568359e+13,2.955339338429011328e+13
2.600000000000000000e+01,9.500250299916132812e+13,4.001204425894150781e+13,2.493157073604734766e+13,2.983552610283557031e+13
2.650000000000000000e+01,9.694895628551512500e+13,4.090656960178135938e+13,2.548621070299396875e+13,3.018052985742375000e+13
2.700000000000000000e+01,9.883530913362462500e+13,4.176798999283710938e+13,2.602356469837860156e+13,3.057019581652683984e+13
2.750000000000000000e+01,1.006635727369553281e+14,4.259756561463441406e+13,2.654344253473092578e+13,3.099029298159234375e+13
2.800000000000000000e+01,1.024349896990051719e+14,4.339635876993821875e+13,2.704574492323332812e+13,3.142970583192632031e+13
2.850000000000000000e+01,1.041502269108096562e+14,4.416525076391020312e+13,2.753043487699909375e+13,3.187975725642144922e+13
2.900000000000000000e+01,1.058095243399230312e+14,4.490496031196854688e+13,2.799751577174263281e+13,3.233367713710056250e+13
2.950000000000000000e+01,1.074128095014481562e+14,4.561606225171819531e+13,2.844701482849187891e+13,3.278618543850324609e+13
3.000000000000000000e+01,1.089597852550346875e+14,4.629900575044353906e+13,2.887897095937272656e+13,3.323316531769818359e+13
3.050000000000000000e+01,1.104499969078400156e+14,4.695413149947171094e+13,2.929342608194905859e+13,3.367140699930231641e+13
3.100000000000000000e+01,1.118828832930269219e+14,4.758168760134150000e+13,2.969041915622562500e+13,3.409840726831734766e+13
3.150000000000000000e+01,1.132578154759678594e+14,4.818184400693807812e+13,3.006998232962901172e+13,3.451221266301818359e+13
3.200000000000000000e+01,1.145741259272887500e+14,4.875470546363685938e+13,3.043213868899141016e+13,3.491129698989092969e+13
3.250000000000000000e+01,1.158311303740743750e+14,4.930032300490217188e+13,3.077690121561542969e+13,3.529446578088761719e+13
3.300000000000000000e+01,1.170281440489813594e+14,4.981870405599094531e+13,3.110427262125890234e+13,3.566078188609039844e+13
3.350000000000000000e+01,1.181644936686614062e+14,5.030982125645215625e+13,3.141424581096437500e+13,3.600950763322066406e+13
3.400000000000000000e+01,1.192395261684253125e+14,5.077362011335452344e+13,3.170680477475901562e+13,3.634005996065185938e+13
3.450000000000000000e+01,1.202526149922771719e+14,5.121002560370131250e+13,3.198192575602458203e+13,3.665197569870849219e+13
3.500000000000000000e+01,1.212031645426792344e+14,5.161894784282539062e+13,3.223957858132286328e+13,3.694488477908072656e+13
3.550000000000000000e+01,1.220906132619596094e+14,5.200028693035314062e+13,3.247972806607155469e+13,3.721848962875557031e+13
3.600000000000000000e+01,1.229144357007281875e+14,5.235393707762201562e+13,3.270233543393805859e+13,3.747254938019480469e+13
3.650000000000000000e+01,1.236741438424802969e+14,5.267979011159350781e+13,3.290735970624120703e+13,3.770686782500409375e+13
3.700000000000000000e+01,1.243692878895574844e+14,5.297773844106493750e+13,3.309475903195919531e+13,3.792128427092185156e+13
3.750000000000000000e+01,1.249994566644247500e+14,5.324767756177768750e+13,3.326449193992150781e+13,3.811566664490664062e+13
3.800000000000000000e+01,1.255642777380857500e+14,5.348950816818729688e+13,3.341651850308275781e+13,3.828990632890242188e+13
3.850000000000000000e+01,1.260634173695394531e+14,5.370313793151957812e+13,3.355080141098646094e+13,3.844391432777099219e+13
3.900000000000000000e+01,1.264965803175574219e+14,5.388848299631387500e+13,3.366730695108248438e+13,3.857761845741067969e+13
3.950000000000000000e+01,1.268635095669157500e+14,5.404546924099738281e+13,3.376600590283477344e+13,3.869096131035663281e+13
4.000000000000000000e+01,1.271639859997115156e+14,5.417403334223425781e+13,3.384687435084678906e+13,3.878389881021276562e+13
4.050000000000000000e+01,1.273978280301795312e+14,5.427412367774214062e+13,3.390989442478038281e+13,3.885639920826311719e+13
4.100000000000000000e+01,1.275648912184626094e+14,5.434570109807237500e+13,3.395505497484366016e+13,3.890844240802888281e+13
