x_cm,phi_g1,phi_g2
1.900000000000000000e+01,6.827859083129542188e+13,5.744405836570449219e+13
1.950000000000000000e+01,7.283779629923506250e+13,5.425357770832980469e+13
2.000000000000000000e+01,7.769437490128881250e+13,5.018657801326446875e+13
2.051890850067138672e+01,8.300964858707698438e+13,4.678063800496554688e+13
2.103781700134277344e+01,8.741609290044951562e+13,4.456012255737385156e+13
2.155672550201416016e+01,9.105117026986210938e+13,4.315540022607925781e+13
2.207563400268554688e+01,9.401141848754107812e+13,4.230081934225409375e+13
2.259454250335693359e+01,9.636402961346476562e+13,4.180665447534564844e+13
2.311345100402832031e+01,9.815509967499646875e+13,4.153913676973116406e+13
2.363235950469970703e+01,9.941543079430939062e+13,4.140642203405547656e+13
2.415126800537109375e+01,1.001645052932606875e+14,4.134898838469814062e+13
2.467017650604248047e+01,1.004130557880971094e+14,4.133343121441316406e+13
2.518908500671386719e+01,1.001645052932606875e+14,4.134898838469814844e+13
2.570799350738525391e+01,9.941543079430937500e+13,4.140642203405550781e+13
2.622690200805664062e+01,9.815509967499648438e+13,4.153913676973120312e+13
2.674581050872802734e+01,9.636402961346481250e+13,4.180665447534571875e+13
2.726471900939941406e+01,9.401141848754118750e+13,4.230081934225416406e+13
2.778362751007080078e+01,9.105117026986229688e+13,4.315540022607935938e+13
2.830253601074218750e+01,8.741609290044973438e+13,4.456012255737396875e+13
2.882144451141357422e+01,8.300964858707717188e+13,4.678063800496567969e+13
2.934035301208496094e+01,7.769437490128906250e+13,5.018657801326460938e+13
2.984035301208496094e+01,7.283779629923526562e+13,5.425357770832997656e+13
3.034035301208496094e+01,6.827859083129560156e+13,5.744405836570464844e+13
3.084035301208496094e+01,6.399787020427365625e+13,5.986124806659565625e+13
3.134035301208496094e+01,5.997792396658478125e+13,6.159782233298429688e+13
3.184035301208496094e+01,5.620214278948640625e+13,6.273689462216598438e+13
3.234035301208496094e+01,5.265494667658674219e+13,6.335291733506723438e+13
3.284035301208496094e+01,4.932171776874894531e+13,6.351250121089521875e+13
3.334035301208496094e+01,4.618873743381617969e+13,6.327516030096042188e+13
3.384035301208496094e+01,4.324312735130935938e+13,6.269398909305327344e+13
3.434035301208496094e+01,4.047279432151315625e+13,6.181627778962049219e+13
3.484035301208496094e+01,3.786637854626392188e+13,6.068407122366939062e+13
3.534035301208496094e+01,3.541320514538486719e+13,5.933467642170114844e+13
3.584035301208496094e+01,3.310323868816382812e+13,5.780112338926205469e+13
3.634035301208496094e+01,3.092704053362296094e+13,5.611258329844785156e+13
3.684035301208496094e+01,2.887572878665884766e+13,5.429474789474139844e+13
3.734035301208496094e+01,2.694094068950957812e+13,5.237017361001679688e+13
3.784035301208496094e+01,2.511479727949437109e+13,5.035859356675818750e+13
3.834035301208496094e+01,2.338987015463254688e+13,4.827720038310389062e+13
3.884035301208496094e+01,2.175915019863715625e+13,4.614090243702633594e+13
3.934035301208496094e+01,2.021601812594491016e+13,4.396255601877637500e+13
3.984035301208496094e+01,1.875421671593624609e+13,4.175317559181457812e+13
4.034035301208496094e+01,1.736782461336096484e+13,3.952212419213963281e+13
4.084035301208496094e+01,1.605123157925518945e+13,3.727728582266864062e+13
4.134035301208496094e+01,1.479911508335337305e+13,3.502522154172816016e+13
4.184035301208496094e+01,1.360641813519672461e+13,3.277131080150210156e+13
4.234035301208496094e+01,1.246832825685030859e+13,3.051987946229378516e+13
4.284035301208496094e+01,1.138025750539246289e+13,2.827431579063974609e+13
4.334035301208496094e+01,1.033782345815964648e+13,2.603717564270552344e+13
4.384035301208496094e+01,9.336831078140935547e+12,2.381027793813120312e+13
4.434035301208496094e+01,8.373255380942091797e+12,2.159479144279309766e+13
4.484035301208496094e+01,7.443224828398458984e+12,1.939131380110025781e+13
4.534035301208496094e+01,6.543005377228504883e+12,1.719994368881523633e+13
4.584035301208496094e+01,5.668985114101128906e+12,1.502034689540802148e+13
4.634035301208496094e+01,4.817659411155182617e+12,1.285181709011336133e+13
4.684035301208496094e+01,3.985616538372335938e+12,1.069333197771500000e+13
4.734035301208496094e+01,3.169523671275873535e+12,8.543605508231702148e+12
4.784035301208496094e+01,2.366113234218810547e+12,6.401136768784183594e+12
4.834035301208496094e+01,1.572169521043450195e+12,4.264256155686472168e+12
4.884035301208496094e+01,7.845155361490095215e+11,2.131169399978827881e+12
4.934035301208496094e+01,6.288159214743611598e-05,-0.000000000000000000e+00
