x_cm,phi_g1,phi_g2,phi_g3,phi_g4
0.000000000000000000e+00,-6.817927774983434733e-03,-9.661542602668979243e-05,-3.780546386278175758e-04,0.000000000000000000e+00
5.036371997278979995e-01,3.046044176982695801e+12,1.289668551792142334e+12,8.025240204499257812e+11,9.168951228110664062e+11
1.007274399455795999e+00,6.089892324687265625e+12,2.578407323930982910e+12,1.604469465494207520e+12,1.833129214981186035e+12
1.510911599183693887e+00,9.129349997051160156e+12,3.865287207082897949e+12,2.405258176848049316e+12,2.748041722435920898e+12
2.014548798911591998e+00,1.216222591330158008e+13,5.149380432070344727e+12,3.204312830167630859e+12,3.660973043890274414e+12
2.518185998639490109e+00,1.518633353774761914e+13,6.429761238742099609e+12,4.001057351269007324e+12,4.571265006384714844e+12
3.021823198367388219e+00,1.819949265615153125e+13,7.705506543395094727e+12,4.794917331445717773e+12,5.478261339791452148e+12
3.525460398095286330e+00,2.119953094754251172e+13,8.975696604266679688e+12,5.585320441585673828e+12,6.381308149948883789e+12
4.029097597823183996e+00,2.418428555033989062e+13,1.023941568461753711e+13,6.371696844788770508e+12,7.279754390083097656e+12
4.532734797551081662e+00,2.715160462165667188e+13,1.149575271292717773e+13,7.153479607187761719e+12,8.172952330176560547e+12
5.036371997278979329e+00,3.009934888865913281e+13,1.274380193972611133e+13,7.930105106676202148e+12,9.060258023945621094e+12
5.540009197006876995e+00,3.302539319086412500e+13,1.398266359059107227e+13,8.701013439248786133e+12,9.941031773090140625e+12
6.043646396734774662e+00,3.592762801226225781e+13,1.521144451483258398e+13,9.465648822661164062e+12,1.081463858848056641e+13
6.547283596462672328e+00,3.880396100216209375e+13,1.642925882940717578e+13,1.022345999711817188e+13,1.168044864794994727e+13
7.050920796190569995e+00,4.165231848365929688e+13,1.763522855759003906e+13,1.097390062270164453e+13,1.253783775036086719e+13
7.554557995918467661e+00,4.447064694864283594e+13,1.882848426194766797e+13,1.171642967325123828e+13,1.338618776561991992e+13
8.058195195646366216e+00,4.725691453826077344e+13,2.000816567115409375e+13,1.245051182641438672e+13,1.422488708031530469e+13
8.561832395374263882e+00,5.000911250777792969e+13,2.117342230019893359e+13,1.317561784958406250e+13,1.505333103865622070e+13
9.065469595102161549e+00,5.272525667476985938e+13,2.232341406354001953e+13,1.389122498144620898e+13,1.587092237839625977e+13
9.569106794830059215e+00,5.540338884960833594e+13,2.345731188075855469e+13,1.459681730886172266e+13,1.667707166142642969e+13
1.007274399455795688e+01,5.804157824720789062e+13,2.457429827428024609e+13,1.529188613881126953e+13,1.747119769872738672e+13
1.057638119428585455e+01,6.063792287901492969e+13,2.567356795873137109e+13,1.597593036513478711e+13,1.825272796937458203e+13
1.108001839401375221e+01,6.319055092423622656e+13,2.675432842150494922e+13,1.664845682980132227e+13,1.902109903329414453e+13
1.158365559374164988e+01,6.569762207931817188e+13,2.781580049411853906e+13,1.730898067844865234e+13,1.977575693747200781e+13
1.208729279346954755e+01,6.815732888470365625e+13,2.885721891395152734e+13,1.795702570993647266e+13,2.051615761532335938e+13
1.259092999319744521e+01,7.056789802791056250e+13,2.987783287595715625e+13,1.859212471966102344e+13,2.124176727893456250e+13
1.309456719292534288e+01,7.292759162199181250e+13,3.087690657395138672e+13,1.921381983638380469e+13,2.195206280389467188e+13
1.359820439265324055e+01,7.523470845845560938e+13,3.185371973108850000e+13,1.982166285233136719e+13,2.264653210643920312e+13
1.410184159238113821e+01,7.748758523374290625e+13,3.280756811914075391e+13,2.041521554632832031e+13,2.332467451263418750e+13
1.460547879210903588e+01,7.968459774837685938e+13,3.373776406620802734e+13,2.099404999973055469e+13,2.398600111933434375e+13
1.510911599183693355e+01,8.182416207792095312e+13,3.464363695249117969e+13,2.155774890493089062e+13,2.463003514665523438e+13
1.561275319156483121e+01,8.390473571490093750e+13,3.552453369377180469e+13,2.210590586621477344e+13,2.525631228170516016e+13
1.611639039129272888e+01,8.592481868086712500e+13,3.637981921224980469e+13,2.263812569274908984e+13,2.586438101332902344e+13
1.662002759102062655e+01,8.788295460779604688e+13,3.720887689439939844e+13,2.315402468349290234e+13,2.645380295762292578e+13
1.712366479074852421e+01,8.977773178805106250e+13,3.801110903551327344e+13,2.365323090382464844e+13,2.702415317398468359e+13
1.762730199047642188e+01,9.160778419214550000e+13,3.878593727061462500e+13,2.413538445368641406e+13,2.757502047147248438e+13
1.813093919020431954e+01,9.337179245357446875e+13,3.953280299142630469e+13,2.460013772705199609e+13,2.810600770525082422e+13
1.863457638993221721e+01,9.506848482000475000e+13,4.025116774909651562e+13,2.504715566253155078e+13,2.861673206290991406e+13
1.913821358966011488e+01,9.669663807013807812e+13,4.094051364239052344e+13,2.547611598493237891e+13,2.910682534045228125e+13
1.964185078938801254e+01,9.825507839558606250e+13,4.160034369106889062e+13,2.588670943760143359e+13,2.957593420774743359e+13
2.014548798911591021e+01,9.974268224712089062e+13,4.223018219418269531e+13,2.627864000538233594e+13,3.002372046326337500e+13
2.064912518884380788e+01,1.011583771446921875e+14,4.282957507302753906e+13,2.665162512802582422e+13,3.044986127789116016e+13
2.115276238857170554e+01,1.025011424506258438e+14,4.339809019850925781e+13,2.700539590390012891e+13,3.085404942768682422e+13
2.165639958829960321e+01,1.037700101054473906e+14,4.393531770268503906e+13,2.733969728385414844e+13,3.123599351536286719e+13
2.216003678802750088e+01,1.049640653257990000e+14,4.444087027425544531e+13,2.765428825509377344e+13,3.159541818036952344e+13
2.266367398775539854e+01,1.060824472639479688e+14,4.491438343779458594e+13,2.794894201493876562e+13,3.193206429741452344e+13
2.316731118748329621e+01,1.071243496284101094e+14,4.535551581651660156e+13,2.822344613433492578e+13,3.224568916327807031e+13
2.367094838721119388e+01,1.080890212652413750e+14,4.576394937838946094e+13,2.847760271100372266e+13,3.253606667178844531e+13
2.417458558693909154e+01,1.089757666995782500e+14,4.613938966541850781e+13,2.871122851211885547e+13,3.280298747683199219e+13
2.467822278666698921e+01,1.097839466370365781e+14,4.648156600593432031e+13,2.892415510640696094e+13,3.304625914328016406e+13
2.518185998639488687e+01,1.105129784246076719e+14,4.679023170973203906e+13,2.911622898557732812e+13,3.326570628572453906e+13
2.568549718612278454e+01,1.111623364707185156e+14,4.706516424592129688e+13,2.928731167499276172e+13,3.346117069492000000e+13
2.618913438585068221e+01,1.117315526241545156e+14,4.730616540335879688e+13,2.943727983350220703e+13,3.363251145184486719e+13
2.669277158557857987e+01,1.122202165115705000e+14,4.751306143354742188e+13,2.956602534236289844e+13,3.377960502929568750e+13
2.719640878530647754e+01,1.126279758333471719e+14,4.768570317589942969e+13,2.967345538318794531e+13,3.390234538094355859e+13
2.770004598503437521e+01,1.129545366175795781e+14,4.782396616527286719e+13,2.975949250486328516e+13,3.400064401778759766e+13
2.820368318476227287e+01,1.131996634320148438e+14,4.792775072170412500e+13,2.982407467938563672e+13,3.407443007195064844e+13
